YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
1901,26.5,14.8,14.1,29.2,195.5,488.4,524.8,501.1,242.7,55.5,17.9,2.6,2113.2
1902,1.2,0.7,87.1,126.1,271.3,539.2,671,603.8,799.9,74.4,5.6,0,3180.4
1903,5.5,8.7,19.6,18.6,163.6,541.2,431.5,708.8,365.2,141.3,0.3,0,2404.5
1904,3.4,29.2,0.9,124.3,333.6,274.2,500.4,468.5,260.6,164.8,8.9,1.1,2169.9
1905,12,31.2,51.9,104.4,290.6,524.8,523.1,1036.6,321.1,87.9,2.7,18.7,3005
1906,9.3,49.2,30.4,13,198.1,438,706.4,816,208.6,140.5,8,0.4,2618
1907,10.4,20.8,71.1,108.8,156.2,408.1,889.8,358.8,456.1,40,5.8,4.1,2530
1908,10.6,32.9,9.8,53.8,315,368.6,449.1,268.5,441.6,36,2.3,0,1988.2
1909,2.1,8.6,0,147.8,191.9,896,340.9,600.5,340.2,136.8,3.6,1.8,2670.1
1910,2.5,17.4,73.2,47.4,170.4,833.7,859.8,489.2,353.1,188,11.2,0.2,3046.1
1911,22.9,6.7,40.8,117.3,315.2,575.4,853.2,430.4,493.3,326.4,12.4,0.1,3194.2
1912,2.3,12,81.8,134.7,277.3,397.8,743.5,553.3,335.6,133,121.9,0.5,2793.6
1913,0.7,35.1,46.5,52.2,301.4,736.9,596.1,477.7,476.6,153.7,4.8,53.2,2935.1
1914,2.2,70,9.1,139.2,247.7,402.2,351.3,741.7,392.8,43,14.8,0.3,2414.1
1915,1,52.9,50.4,72.7,366.4,352.7,509.1,610.7,359,116.5,13,0.6,2504.9
1916,6.6,17.6,8.7,165.3,305.4,649,1020.8,514.9,571.9,209.9,5.6,1.1,3476.8
1917,1,21.4,15.1,23.4,226.1,619.4,740.5,410.5,428,354.3,1.7,0.4,2841.6
1918,0.8,1.5,17.2,141.9,306.3,682.6,703.8,746.9,345,33.6,2,0.1,2981.4
1919,19.6,5,5.5,93.4,177.8,558,704,285.9,518.2,170.5,6.1,0.4,2544.5
1920,0.8,24.2,80.5,66,148.9,615.2,389.8,608.7,788.8,161,0.2,0,2884.1
1921,37.9,6,54.9,157.4,503.1,589.2,970.2,521.4,479.6,183.8,2.7,7.1,3513.4
1922,17.8,2.5,5.6,45.4,217.1,803,719.8,526.3,571.2,87.2,1.9,3.9,3001.9
1923,0,40.2,3.8,104.2,336.5,536.9,656.3,228.1,504.1,76.5,0.6,1.7,2489
1924,0.8,3.5,4.1,110.9,264.7,693.1,732,491.2,439,128.2,81.4,1.9,2950.9
1925,3,6.1,13.1,261.6,284.6,554.1,446,664.5,568.6,69.3,14.8,0.8,2886.6
1926,12.7,2.9,66.5,43.7,236.1,580.8,853.8,396.4,331.8,102.8,0.2,9.9,2637.7
1927,21,33.9,56.4,44.5,300.4,682.1,518.1,408.4,543.5,107.3,16.3,0.3,2732.2
1928,25.5,11.8,5.4,92.6,210.8,527.8,666.2,660.9,395.9,255.3,14.9,1.9,2868.9
1929,49.7,2,37.9,126.4,235,594,554.5,392.6,400.9,513.5,10.5,14.3,2931.3
1930,17.6,19.9,51.7,61.3,192.3,495.1,346.1,475.8,329.6,140.4,52,2.4,2184.5
1931,2.8,9.7,28.2,98.6,296.3,523.7,793.8,408.7,585.3,112.1,12.7,4.5,2876.5
1932,3,7,8.6,72.4,255.9,731.3,363.5,582.9,380.1,154.4,132.1,24.4,2715.6
1933,16.5,9.4,0.5,112.4,206,565.3,653.3,512.3,284.1,149.3,3.9,1.1,2514.2
1934,10.5,60.2,0.4,86.8,227.5,517.2,656.2,455.6,436.3,151.4,4,6.8,2612.9
1935,9.5,28.4,16.6,24.2,248.9,609.2,365.4,935.1,521.7,18,6.3,1.8,2785.1
1936,3.7,8.9,46.7,85.7,274.8,410.4,663.8,508.7,536,113.2,0.1,8.3,2660.3
1937,0,68.6,2.2,63.7,270.2,317.2,477.3,654,354.8,351.6,6.7,2,2568.4
1938,0.8,8.2,7.6,76.2,460.9,889.2,699.4,539,461,102.4,4.4,0.1,3249.3
1939,0,19.8,5.8,6.7,268.3,626.3,605.9,460.5,444.6,146.3,6.5,0.3,2591.1
1940,0.1,54.2,121.2,24.7,217.1,469.1,600.3,400.8,408.4,11.7,9.5,3.1,2320.2
1941,3.8,6.3,12.7,85.4,378.8,470.1,544.9,582.1,452.8,154.5,22,4.5,2718
1942,6.6,19.5,45.7,186.9,253.8,537.8,382.2,363.8,511.7,49.7,7.6,0,2365.4
1943,42,38.8,30.3,185,209.6,828.9,450,555.7,532.8,39.6,4,0.9,2917.6
1944,37.1,15.7,53.9,105.9,248.8,585.9,446.9,416.7,613.3,52.1,6.9,0,2583.2
1945,27.8,21.3,6.9,120.3,305.4,398.3,551.3,680,406.9,235.9,0,1.3,2755.4
1946,0,11.6,34.2,182.8,248.7,523.4,599.9,401.1,461.7,297,7.8,0.2,2768.5
1947,1.6,0.8,93.4,76,171.1,377.7,688.1,439.2,542,141.9,1.9,0.5,2534.1
1948,0.5,15.5,21.5,178.3,357.5,556.3,798,415.5,349.2,185.8,57.1,1.3,2936.6
1949,9.6,25.5,14.1,281.8,351.9,660.9,645.1,586.3,395.8,311.4,0.1,5.1,3287.7
1950,0.3,19.6,27.9,48.4,210.4,747.5,570.9,639.9,366.2,131,0.2,0.3,2762.5
1951,1,0.5,22.7,69.3,239.8,546.5,778.3,503.7,326.1,158,37.3,0,2683.1
1952,1.3,22.2,80.8,168.2,420.8,580.6,713,522.9,587.9,148.8,20.7,3.7,3270.7
1953,28.2,10.7,88.1,64.5,253.2,427.7,755.2,315.5,540.7,105.7,0.4,4.1,2594
1954,15.7,10.2,10,71.1,308.9,841.5,961.5,496.2,250.8,85.6,0.7,3.5,3055.6
1955,4.6,2.8,34.6,71.5,220.5,541,1064.6,626.2,365,51.3,6.1,4.6,2992.9
1956,14.8,1.4,42.6,164.9,420.9,747.9,471.4,486.8,285.2,215.8,30.1,3.6,2885.5
