Acceleration,Cylinders,Displacement,Horsepower,Model_Year,Weight,Origin,MPG
12,8,307,130,70,3504,USA    ,18
11.5,8,350,165,70,3693,USA    ,15
11,8,318,150,70,3436,USA    ,18
12,8,304,150,70,3433,USA    ,16
10.5,8,302,140,70,3449,USA    ,17
10,8,429,198,70,4341,USA    ,15
9,8,454,220,70,4354,USA    ,14
8.5,8,440,215,70,4312,USA    ,14
10,8,455,225,70,4425,USA    ,14
8.5,8,390,190,70,3850,USA    ,15
17.5,4,133,115,70,3090,France ,0
11.5,8,350,165,70,4142,USA    ,0
11,8,351,153,70,4034,USA    ,0
10.5,8,383,175,70,4166,USA    ,0
11,8,360,175,70,3850,USA    ,0
10,8,383,170,70,3563,USA    ,15
8,8,340,160,70,3609,USA    ,14
8,8,302,140,70,3353,USA    ,0
9.5,8,400,150,70,3761,USA    ,15
10,8,455,225,70,3086,USA    ,14
15,4,113,95,70,2372,Japan  ,24
15.5,6,198,95,70,2833,USA    ,22
15.5,6,199,97,70,2774,USA    ,18
16,6,200,85,70,2587,USA    ,21
14.5,4,97,88,70,2130,Japan  ,27
20.5,4,97,46,70,1835,Germany,26
17.5,4,110,87,70,2672,France ,25
14.5,4,107,90,70,2430,Germany,24
17.5,4,104,95,70,2375,Sweden ,25
12.5,4,121,113,70,2234,Germany,26
15,6,199,90,70,2648,USA    ,21
14,8,360,215,70,4615,USA    ,10
15,8,307,200,70,4376,USA    ,10
13.5,8,318,210,70,4382,USA    ,11
18.5,8,304,193,70,4732,USA    ,9
14.5,4,97,88,71,2130,Japan  ,27
15.5,4,140,90,71,2264,USA    ,28
14,4,113,95,71,2228,Japan  ,25
19,4,98,0,71,2046,USA    ,25
20,4,97,48,71,1978,Germany,0
13,6,232,100,71,2634,USA    ,19
15.5,6,225,105,71,3439,USA    ,16
15.5,6,250,100,71,3329,USA    ,17
15.5,6,250,88,71,3302,USA    ,19
15.5,6,232,100,71,3288,USA    ,18
12,8,350,165,71,4209,USA    ,14
11.5,8,400,175,71,4464,USA    ,14
13.5,8,351,153,71,4154,USA    ,14
13,8,318,150,71,4096,USA    ,14
11.5,8,383,180,71,4955,USA    ,12
12,8,400,170,71,4746,USA    ,13
12,8,400,175,71,5140,USA    ,13
13.5,6,258,110,71,2962,USA    ,18
19,4,140,72,71,2408,USA    ,22
15,6,250,100,71,3282,USA    ,19
14.5,6,250,88,71,3139,USA    ,18
14,4,122,86,71,2220,USA    ,23
14,4,116,90,71,2123,Germany,28
19.5,4,79,70,71,2074,France ,30
14.5,4,88,76,71,2065,Italy  ,30
19,4,71,65,71,1773,Japan  ,31
18,4,72,69,71,1613,Japan  ,35
19,4,97,60,71,1834,Germany,27
20.5,4,91,70,71,1955,USA    ,26
15.5,4,113,95,72,2278,Japan  ,24
17,4,97.5,80,72,2126,USA    ,25
23.5,4,97,54,72,2254,Germany,23
19.5,4,140,90,72,2408,USA    ,20
16.5,4,122,86,72,2226,USA    ,21
12,8,350,165,72,4274,USA    ,13
12,8,400,175,72,4385,USA    ,14
13.5,8,318,150,72,4135,USA    ,15
13,8,351,153,72,4129,USA    ,14
11.5,8,304,150,72,3672,USA    ,17
11,8,429,208,72,4633,USA    ,11
13.5,8,350,155,72,4502,USA    ,13
13.5,8,350,160,72,4456,USA    ,12
12.5,8,400,190,72,4422,USA    ,13
13.5,3,70,97,72,2330,Japan  ,19
12.5,8,304,150,72,3892,USA    ,15
